PG.ProteinGroups,PG.Genes,Brain_C9FTLD_TDP_1,Brain_C9FTLD_TDP_2,Brain_C9FTLD_TDP_3,Brain_C9FTLD_TDP_4,Brain_C9FTLD_TDP_5,Brain_C9FTLD_TDP_6,Brain_C9FTLD_TDP_7,Brain_C9FTLD_TDP_8,Brain_C9FTLD_TDP_9,Brain_C9FTLD_TDP_10,Brain_Control_1,Brain_Control_2,Brain_Control_3,Brain_Control_4,Brain_Control_5,Brain_Control_6,Brain_Control_7,Brain_Control_8,Brain_Control_9,Brain_Control_10,[6] 131115P.PG.Quantity,[16] 131118P.PG.Quantity,[26] 4900020P.PG.Quantity,[31] 4900056P.PG.Quantity,[5] 131115C.PG.Quantity,[11] 131118C.PG.Quantity,[21] 4900020C.PG.Quantity,[31] 4900056C.PG.Quantity
P15814;P15814,IGLL1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2279.708496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84440.71143,8490.410889,583369.2595,126274.8076,44630.88672,12711.3006,122965.1729,48679.48682
P15822;P15822,HIVEP1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
P15848;P15848,ARSB,7195.799316,6047.344238,12214.69238,39625.375,13962.46875,28059.5,56088.14453,26709.00586,21219.24805,45074.10938,29612.9375,41667.10938,32193.99609,45255.30078,136005.2031,33145.10156,49199.57031,25961.61523,22783.74609,63836.49609,,,,,,2952.216309,2766.362549,
P15880;P15880,RPS2,32032.95117,22425.92578,62351.64844,95965.55469,32740.55664,56877.67578,73255.77344,54059.76563,50496.16016,99049.00781,97964.10938,99183.70313,60764.44922,82229.39063,100908.1016,86349.69531,118995.5391,89313.17969,57516.75781,101656.625,68687.58984,17183.24805,6163.326416,5034.974121,436200.1094,41817.80859,420349.4844,
P15882;P15882,CHN1,6464.302246,3306.588623,6694.291016,18427.0293,4543.639648,2989.980469,14575.80957,7199.436523,17126.24219,8528.78125,17996.37695,27981.74609,10918.35352,40793.69141,35987.96484,25671.4707,25615.68164,21190.14648,19146.82617,21723.06641,,,,,,,,
P15907;P15907,ST6GAL1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8905.958008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52548.37598,127529.2876,65804.53955,80588.05176,28955.68994,20734.16553,12566.63428,9543.869629
P15924;P15924,DSP,10436.29297,46163.94531,NaN,45445.48438,1516.772339,NaN,76989.83594,61288.57813,10562.1416,28242.28906,6584.740234,53629.61719,18491.15625,10874.12207,NaN,10674.85449,3937.745361,16273.40039,70670.875,32435.98242,21321.70667,7363.553955,15901.34668,416454.6272,8586.306641,32124.29309,31381.04028,11145.9248
P15927;P15927,RPA2,11005.86914,10149.17285,31885.35547,30672.59766,11484.8291,26055.92383,22115.30273,19186.1875,21629.36523,16617.19531,28796.28711,43743.55859,18479.22852,29786.51367,34579.94141,21426.72461,48746.86719,21499.50781,22951.67578,31234.96289,8494.689697,,,,,,,
P15954;P15954,COX7C,50250.75781,NaN,102591.875,169696.8594,45564.6875,85752.60156,143729.2656,97433.42969,160326.5469,357090.3438,138153.8594,117689.9766,177957.4219,176420.0625,1318.871094,83759.64844,68134,79316.82813,64903.45313,126824.8906,26562.1626,33979.22302,,6195.270264,,,,
P16035;P16035,TIMP2,8983.673828,2507.789063,17374.52734,23310.7793,8113.686035,14894.77441,18651.30469,13989.74512,17296.5,12697.93652,19855.56641,26129.7168,12552.17773,29245.6875,14439.58398,9548.918945,10452.10449,23829.32227,10305.32617,9300.927734,69763.88574,57808.66064,261790.3003,197656.0942,392203.2402,273650.5176,419643.665,855499.3555
P16050;P16050,ALOX15,NaN,NaN,86496.46094,97851.13281,NaN,54413.02344,90458.92969,NaN,23021.32617,NaN,226047.3125,60299.92578,11319.3623,96811.0625,84182.09375,105734.0234,69328.78906,NaN,67606.17188,47817.28906,39987.19141,,5407.111328,,,,,
P16070;P16070,CD44,317523.3438,491824.5,1746066.75,631251.3125,299617.9375,1723970,1147428.25,288196.4375,820792.625,275242.625,619635.25,470146.75,159374.9844,252792.9375,97091.78906,111840.2813,156514.5313,126940.8516,591630.25,401731.2188,265128.1558,240261.6653,151881.7451,135484.3123,676476.8584,479070.2333,1130188.939,1008332.443
